val_loss,epoch,step,train_loss
0.21343795966635143,0,51406,
,1,51406,0.5318453608514427
0.15006891679296927,1,102813,
,2,102813,0.18745646420834752
0.11286904035705221,2,154220,
,3,154220,0.14326151914114232
0.1215432274145414,3,205627,
,4,205627,0.11387789752624092
0.1756727306268945,4,257034,
,5,257034,0.09286809807567807
0.12851433205689428,5,308441,
,6,308441,0.07578327694984491
0.04736316145536192,6,359848,
,7,359848,0.0622126088606828
0.044777357888869516,7,411255,
,8,411255,0.0500191790990114
0.0417094976264535,8,462662,
,9,462662,0.03944635378004219
0.0222239718036439,9,514069,
,10,514069,0.03089856959098555
0.04395517172119862,10,565476,
,11,565476,0.022218540020005034
0.0403906496917359,11,616883,
,12,616883,0.014785585043141465
0.02996561605527632,12,668290,
,13,668290,0.007565288738838205
0.026596366294245395,13,719697,
,14,719697,0.0012379320485536908
0.016211349171914517,14,771104,
,15,771104,-0.0047471502242544235
