val_loss,epoch,step,train_loss
0.24340778261205195,0,25703,
,1,25703,0.7657141507230995
0.16903520492968543,1,51407,
,2,51407,0.20340379540822
0.1404013088081767,2,77111,
,3,77111,0.1614143431095329
0.19715307013079938,3,102815,
,4,102815,0.13329148117980277
0.14000329407028264,4,128519,
,5,128519,0.11150035339747032
0.09449843578913489,5,154223,
,6,154223,0.09473557592300498
0.06969889249688092,6,179927,
,7,179927,0.0798305132599367
0.07505921974780443,7,205631,
,8,205631,0.06659108465000226
0.06890721870147647,8,231335,
,9,231335,0.05649675829185008
0.05284434079227809,9,257039,
,10,257039,0.04656308145621534
0.11875157552652503,10,282743,
,11,282743,0.03691732057037754
0.029003639910793313,11,308447,
,12,308447,0.028538345211723937
0.057391226107385236,12,334151,
,13,334151,0.021115345060607547
0.02161178320779543,13,359855,
,14,359855,0.015999402832832757
0.02783547102065532,14,385559,
,15,385559,0.008234194548384114
0.056469426050404094,15,411263,
,16,411263,0.002942708964973038
0.009896255385039935,16,436967,
,17,436967,-0.003413626740803176
0.023874338049744936,17,462671,
,18,462671,-0.008935592329419284
0.006722775362474352,18,488375,
,19,488375,-0.014471194800928405
0.01025753165422345,19,514079,
,20,514079,-0.01918971356069544
0.0009270890851489426,20,539783,
,21,539783,-0.0250594641963345
0.014252156115291454,21,565487,
,22,565487,-0.029636164894541
0.039791349443781876,22,591191,
,23,591191,-0.034219710425396954
0.006093510373388057,23,616895,
,24,616895,-0.037915145626036074
0.0018857543906157543,24,642599,
,25,642599,-0.04263999683459912
